year,month,machine,factory,product,speed_setting,run_time_min,shift_regime,target_cartons,actual_cartons,waste_kg,rate_cartons_per_min,availability,performance,quality,oee,waste_rate,seq
2020,1,Ferry-3,Plant 2,Product C,125,455,single_7.5h,800,987,1.4,2.169230769230769,0.9534018364338978,0.9733727810650886,0.998581560283688,0.9266990631057688,0.1418439716312056,0
2020,1,Ferry-6,Plant 2,Product C,100,455,single_7.5h,800,960,1.2,2.10989010989011,0.9534018364338978,0.9726443768996962,0.99875,0.926161783964358,0.125,1
2020,1,Ferry-3,Plant 2,Product B,120,455,single_7.5h,800,905,2.3,1.989010989010989,0.9534018364338978,0.8925049309664694,0.9974585635359116,0.8487532916655616,0.2541436464088398,2
2020,1,Ferry-1,Plant 1,Product B,125,455,single_7.5h,1000,1200,2.3,2.6373626373626373,0.9534018364338978,1.0,0.9980833333333332,0.951574482914066,0.1916666666666666,3
2020,1,Ferry-9,Plant 1,Product B,125,455,single_7.5h,800,285,1.9,0.6263736263736264,0.9534018364338978,0.2810650887573964,0.9933333333333332,0.2661815186335665,0.6666666666666666,4
2020,1,Ferry-6,Plant 1,Product C,125,455,single_7.5h,800,628,1.2,1.3802197802197802,0.9534018364338978,0.6362715298885512,0.9980891719745224,0.6054632938974337,0.1910828025477707,5
2020,1,Ferry-6,Plant 1,Product C,100,455,single_7.5h,1000,1200,2.1,2.6373626373626373,0.9534018364338978,1.0,0.99825,0.9517333832201385,0.175,6
2020,1,Ferry-9,Plant 2,Product A,125,455,single_7.5h,1000,1152,1.6,2.531868131868132,0.9534018364338978,1.0,0.9986111111111112,0.9520776672166285,0.1388888888888889,7
2020,1,Ferry-1,Plant 2,Product C,125,455,single_7.5h,800,707,4.1,1.553846153846154,0.9534018364338978,0.6890838206627685,0.9942008486562942,0.6531638896972586,0.5799151343705798,8
2020,1,Ferry-9,Plant 2,Product C,150,455,single_7.5h,900,1044,3.8,2.2945054945054943,0.9534018364338978,1.0,0.996360153256705,0.9499315998645024,0.3639846743295019,9
2020,1,Ferry-3,Plant 2,Product C,100,455,single_7.5h,800,700,3.6,1.5384615384615383,0.9534018364338978,0.690335305719921,0.9948571428571428,0.6547820896376393,0.5142857142857142,10
2020,1,Ferry-1,Plant 2,Product C,150,455,single_7.5h,900,800,1.4,1.7582417582417582,0.9534018364338978,0.7797270955165696,0.99825,0.7420923066043968,0.175,11
2020,1,Ferry-1,Plant 2,Product C,100,455,single_7.5h,1000,862,1.2,1.8945054945054944,0.9534018364338978,0.8401559454191038,0.9986078886310904,0.799891131386257,0.1392111368909512,12
2020,1,Ferry-9,Plant 1,Product A,100,455,single_7.5h,800,923,2.3,2.0285714285714285,0.9534018364338978,0.91025641025641,0.9975081256771398,0.8656775846200094,0.2491874322860238,13
2020,1,Ferry-6,Plant 1,Product A,125,455,single_7.5h,700,569,3.0,1.2505494505494503,0.9534018364338978,0.5764944275582573,0.9947275922671354,0.5467329680056597,0.5272407732864675,14
2020,1,Ferry-4,Plant 1,Product A,125,455,single_7.5h,800,911,1.9,2.002197802197802,0.9534018364338978,0.8728980022038041,0.9979143798024148,0.830486858144068,0.2085620197585071,15
2020,1,Ferry-3,Plant 1,Product A,125,455,single_7.5h,1000,888,1.2,1.951648351648352,0.9534018364338978,0.8757396449704143,0.9986486486486488,0.8338034995557995,0.1351351351351351,16
2020,1,Ferry-1,Plant 2,Product C,125,455,single_7.5h,800,987,1.4,2.169230769230769,0.9534018364338978,0.9619883040935676,0.998581560283688,0.9158604775723684,0.1418439716312056,17
2020,1,Ferry-9,Plant 2,Product C,100,455,single_7.5h,800,960,1.2,2.10989010989011,0.9534018364338978,0.9467455621301776,0.99875,0.9015006713735908,0.125,18
2020,1,Ferry-1,Plant 2,Product B,150,455,single_7.5h,800,905,2.3,1.989010989010989,0.9534018364338978,0.8820662768031194,0.9974585635359116,0.8388263525817544,0.2541436464088398,19
2020,1,Ferry-4,Plant 1,Product B,125,455,single_7.5h,980,1200,2.3,2.6373626373626373,0.9534018364338978,1.0,0.9980833333333332,0.951574482914066,0.1916666666666666,20
2020,1,Ferry-3,Plant 1,Product B,125,455,single_7.5h,800,285,1.9,0.6263736263736264,0.9534018364338978,0.2810650887573964,0.9933333333333332,0.2661815186335665,0.6666666666666666,21
2020,1,Ferry-1,Plant 1,Product C,125,455,single_7.5h,800,628,1.2,1.3802197802197802,0.9534018364338978,0.6120857699805072,0.9980891719745224,0.5824486072872977,0.1910828025477707,22
2020,1,Ferry-4,Plant 1,Product C,100,455,single_7.5h,1000,1200,2.1,2.6373626373626373,0.9534018364338978,1.0,0.99825,0.9517333832201385,0.175,23
2020,1,Ferry-9,Plant 2,Product A,125,455,single_7.5h,900,1152,1.6,2.531868131868132,0.9534018364338978,1.0,0.9986111111111112,0.9520776672166285,0.1388888888888889,24
2020,1,Ferry-1,Plant 2,Product C,125,455,single_7.5h,900,707,4.1,1.553846153846154,0.9534018364338978,0.6890838206627685,0.9942008486562942,0.6531638896972586,0.5799151343705798,25
2020,1,Ferry-4,Plant 2,Product C,150,455,single_7.5h,900,1044,3.8,2.2945054945054943,0.9534018364338978,1.0,0.996360153256705,0.9499315998645024,0.3639846743295019,26
2020,1,Ferry-3,Plant 2,Product C,100,455,single_7.5h,800,700,3.6,1.5384615384615383,0.9534018364338978,0.690335305719921,0.9948571428571428,0.6547820896376393,0.5142857142857142,27
2020,1,Ferry-1,Plant 2,Product C,120,455,single_7.5h,900,800,1.4,1.7582417582417582,0.9534018364338978,0.7797270955165696,0.99825,0.7420923066043968,0.175,28
2020,1,Ferry-9,Plant 2,Product C,100,455,single_7.5h,1000,862,1.2,1.8945054945054944,0.9534018364338978,0.8500986193293885,0.9986078886310904,0.8093572986215968,0.1392111368909512,29
2020,1,Ferry-1,Plant 1,Product A,100,455,single_7.5h,800,923,2.3,2.0285714285714285,0.9534018364338978,0.8996101364522422,0.9975081256771398,0.8555527005893666,0.2491874322860238,30
2020,2,Ferry-6,Plant 2,Product A,125,455,single_7.5h,900,887,1.3,1.9494505494505487,0.9534018364338978,0.8986828774062816,0.9985343855693348,0.8555501585911885,0.1465614430665163,31
2020,2,Ferry-1,Plant 2,Product B,100,455,single_7.5h,800,750,1.2,1.6483516483516485,0.9534018364338978,0.7309941520467841,0.9984,0.6958160771166696,0.1599999999999999,32
2020,2,Ferry-4,Plant 2,Product B,100,455,single_7.5h,700,905,1.3,1.989010989010989,0.9534018364338978,0.8671489484022422,0.9985635359116022,0.8255538155371183,0.143646408839779,33
2020,2,Ferry-1,Plant 2,Product B,100,455,single_7.5h,850,1200,2.3,2.6373626373626373,0.9534018364338978,1.0,0.9980833333333332,0.951574482914066,0.1916666666666666,34
2020,2,Ferry-9,Plant 2,Product B,100,455,single_7.5h,800,700,1.9,1.5384615384615383,0.9534018364338978,0.690335305719921,0.9972857142857144,0.6563804950833372,0.2714285714285714,35
2020,2,Ferry-1,Plant 2,Product C,125,455,single_7.5h,900,628,1.2,1.3802197802197802,0.9534018364338978,0.6120857699805072,0.9980891719745224,0.5824486072872977,0.1910828025477707,36
2020,2,Ferry-6,Plant 1,Product C,125,455,single_7.5h,900,1200,2.1,2.6373626373626373,0.9534018364338978,1.0,0.99825,0.9517333832201385,0.175,37
2020,2,Ferry-9,Plant 1,Product C,125,455,single_7.5h,700,1152,1.6,2.531868131868132,0.9534018364338978,1.0,0.9986111111111112,0.9520776672166285,0.1388888888888889,38
